Generating SQLite file experiments/subdescriptor_replay_oracle_20260826/nsys/netcard_d30_k1000000_cuda13.sqlite from experiments/subdescriptor_replay_oracle_20260826/nsys/netcard_d30_k1000000_cuda13.nsys-rep
Processing [experiments/subdescriptor_replay_oracle_20260826/nsys/netcard_d30_k1000000_cuda13.sqlite] with [/usr/local/cuda-13.1/nsight-systems-2025.5.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
1.5,2602906,1,2602906.0,2602906.0,2602906,2602906,0.0,"void thrust::_V_300303_SM_1200::cuda_cub::core::detail::_kernel_agent<thrust::_V_300303_SM_1200::cuda_cub::__reduce_by_key::ReduceByKeyAgent<thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned long long>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned int>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned long long>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned int>>, cuda::std::__4::equal_to<unsigned long long>, cuda::std::__4::bit_or<unsigned int>, int *, int>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned long long>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned int>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned long long>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned int>>, int *, cub::_V_300303_SM_1200::ReduceByKeyScanTileState<unsigned int, int, (bool)1>, cuda::std::__4::equal_to<unsigned long long>, cuda::std::__4::bit_or<unsigned int>, int, int>(T2...)"
0.9,1555433,1,1555433.0,1555433.0,1555433,1555433,0.0,"gpucpg::pack_tc_pfxt_bvss_intervals(int, const int *, const int *, const unsigned long long *, const unsigned int *, int *, unsigned char *, int *, unsigned int *)"
0.9,1507626,1,1507626.0,1507626.0,1507626,1507626,0.0,"gpucpg::compute_tc_pfxt_chain_product_upper_bounds(int, const int *, const int *, const int *, unsigned long long *)"
0.9,1493899,1,1493899.0,1493899.0,1493899,1493899,0.0,"gpucpg::update_successors_bu(int, int *, int *, float *, int *, int *)"
0.8,1427148,27,52857.3,44480.0,768,240637,61677.5,"gpucpg::count_tc_pfxt_adaptive_scalar_candidates(const int *, int, const int *, const int *, const int *, const float *, const unsigned char *, const gpucpg::PfxtNode *, int, float, float, bool, bool, const unsigned long long *, int *)"
0.7,1265619,452,2800.0,1152.0,1056,97278,8157.5,"gpucpg::collect_tc_pfxt_source_local_stats(const int *, int, const int *, const int *, bool, gpucpg::TcPfxtSourceLocalStats *)"
0.7,1228782,1,1228782.0,1228782.0,1228782,1228782,0.0,"gpucpg::count_tc_pfxt_compact_deviations(int, const int *, const int *, const int *, const int *, int *)"
0.7,1153231,452,2551.4,1088.0,928,71103,6497.3,"gpucpg::fill_tc_pfxt_compact_groups(const int *, int, const int *, int *, int *)"
0.7,1151793,452,2548.2,1152.0,992,61087,5732.0,"gpucpg::collect_tc_pfxt_active_sources(const int *, int, int *, int, int *, int *)"
0.7,1137616,7,162516.6,736.0,672,568472,273178.6,"void cub::_V_300303_SM_1200::detail::for_each::static_kernel<cub::_V_300303_SM_1200::detail::for_each::policy_hub_t::policy_500_t, unsigned long, thrust::_V_300303_SM_1200::cuda_cub::__uninitialized_fill::functor<thrust::_V_300303_SM_1200::device_ptr<unsigned long long>, unsigned long long>>(T2, T3)"
0.6,1113036,452,2462.5,1088.0,928,66687,6101.2,"gpucpg::count_tc_pfxt_compact_groups(const int *, int, const int *, int *)"
0.6,1088909,220,4949.6,672.0,640,315292,32464.3,"void cub::_V_300303_SM_1200::detail::for_each::static_kernel<cub::_V_300303_SM_1200::detail::for_each::policy_hub_t::policy_500_t, unsigned long, thrust::_V_300303_SM_1200::cuda_cub::__uninitialized_fill::functor<thrust::_V_300303_SM_1200::device_ptr<int>, int>>(T2, T3)"
0.5,899218,553,1626.1,1568.0,1472,10079,489.5,"gpucpg::inc_kernel(int *, int)"
0.5,883697,452,1955.1,1920.0,1887,3488,181.0,"void cub::_V_300303_SM_1200::detail::scan::DeviceScanKernel<cub::_V_300303_SM_1200::detail::scan::policy_hub<int, int, int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, const int *, int *, cub::_V_300303_SM_1200::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::_V_300303_SM_1200::detail::InputValue<int, int *>, unsigned int, int, (bool)0, int>(T2, T3, T4, int, T5, T6, T7)"
0.5,863798,452,1911.1,1888.0,1792,3552,206.8,"void cub::_V_300303_SM_1200::detail::scan::DeviceScanKernel<cub::_V_300303_SM_1200::detail::scan::policy_hub<int, int, int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, const int *, int *, cub::_V_300303_SM_1200::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::_V_300303_SM_1200::NullType, unsigned int, int, (bool)0, cub::_V_300303_SM_1200::NullType>(T2, T3, T4, int, T5, T6, T7)"
0.4,764087,452,1690.5,1440.0,1216,5728,574.2,"gpucpg::fill_tc_pfxt_source_local_tiles(const int *, int, const int *, const int *, const int *, int, int, int, bool, int4 *)"
0.4,728373,452,1611.4,1344.0,960,12096,1067.8,"gpucpg::advance_tc_pfxt_current_v(const int *, const int *, int, int *, int *)"
0.4,721809,940,767.9,768.0,735,1184,25.3,"void cub::_V_300303_SM_1200::detail::transform::transform_kernel<cub::_V_300303_SM_1200::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned long long>>>, int, cub::_V_300303_SM_1200::detail::transform::always_true_predicate, thrust::_V_300303_SM_1200::cuda_cub::__return_constant<unsigned long long>, unsigned long long *, >(T2, int, bool, T3, T4, T5, cub::_V_300303_SM_1200::detail::transform::kernel_arg<T6>...)"
0.4,681912,368,1853.0,672.0,640,166974,9290.3,"void cub::_V_300303_SM_1200::detail::for_each::static_kernel<cub::_V_300303_SM_1200::detail::for_each::policy_hub_t::policy_500_t, unsigned long, cub::_V_300303_SM_1200::detail::for_each::op_wrapper_t<unsigned long, thrust::_V_300303_SM_1200::detail::construct1_via_allocator<thrust::_V_300303_SM_1200::device_allocator<gpucpg::PfxtNode>>, thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>>(T2, T3)"
0.4,651607,5,130321.4,83519.0,672,284476,143737.4,"void cub::_V_300303_SM_1200::detail::for_each::static_kernel<cub::_V_300303_SM_1200::detail::for_each::policy_hub_t::policy_500_t, unsigned long, thrust::_V_300303_SM_1200::cuda_cub::__uninitialized_fill::functor<thrust::_V_300303_SM_1200::device_ptr<unsigned int>, unsigned int>>(T2, T3)"
0.4,643865,915,703.7,704.0,640,1472,52.3,"void cub::_V_300303_SM_1200::detail::scan::DeviceScanInitKernel<cub::_V_300303_SM_1200::ScanTileState<int, (bool)1>>(T1, int)"
0.3,603607,1,603607.0,603607.0,603607,603607,0.0,"void cub::_V_300303_SM_1200::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300303_SM_1200::detail::radix_sort::policy_selector_from_types<unsigned long long, unsigned int, unsigned long long>, (cub::_V_300303_SM_1200::SortOrder)0, unsigned long long, unsigned long long, cub::_V_300303_SM_1200::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.3,563128,3,187709.3,274716.0,5504,282908,157847.6,"void cub::_V_300303_SM_1200::detail::for_each::static_kernel<cub::_V_300303_SM_1200::detail::for_each::policy_hub_t::policy_500_t, unsigned long, thrust::_V_300303_SM_1200::cuda_cub::__uninitialized_fill::functor<thrust::_V_300303_SM_1200::device_ptr<float>, float>>(T2, T3)"
0.3,496696,452,1098.9,1088.0,1023,1696,72.9,"gpucpg::count_tc_pfxt_source_local_tiles(const int *, int, const int *, const int *, int, int, bool, int *)"
0.3,467418,23,20322.5,3264.0,2336,195485,43259.8,"gpucpg::fill_tc_pfxt_source_local_tile_short_candidates_direct(int, const int4 *, const int *, const int *, const int *, const int *, const int *, const float *, const unsigned char *, gpucpg::PfxtNode *, int, float, float, bool, bool, bool, const int *, const int *, const gpucpg::TcPfxtSourceLocalParentTileBound *, const gpucpg::TcPfxtSourceLocalDevTileBound *, int, int, int *, int, int *, unsigned long long *, bool, unsigned long long *)"
0.3,448475,440,1019.3,1024.0,960,1664,62.7,"gpucpg::record_tc_pfxt_cached_adaptive_step(unsigned long long *, gpucpg::tc_pfxt::AdaptiveTelemetryEntry *, unsigned int *, unsigned int, unsigned int, unsigned int, unsigned long long)"
0.2,378905,452,838.3,832.0,768,1536,67.1,"gpucpg::assign_tc_pfxt_source_slots(const int *, int, int *)"
0.2,361979,12,30164.9,30224.0,27327,32255,1527.9,"void cub::_V_300303_SM_1200::detail::merge_sort::DeviceMergeSortMergeKernel<cub::_V_300303_SM_1200::detail::merge_sort::policy_hub<thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>>::Policy600, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, cub::_V_300303_SM_1200::NullType *, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, cub::_V_300303_SM_1200::NullType *, unsigned int, gpucpg::pfxt_node_comp, gpucpg::PfxtNode, cub::_V_300303_SM_1200::NullType, cub::_V_300303_SM_1200::detail::merge_sort::VSMemHelper>(bool, T4, T5, T6, T8 *, T9 *, T7, T6 *, T6, cub::_V_300303_SM_1200::detail::vsmem_t)"
0.2,329531,15,21968.7,3872.0,1888,255612,64905.5,"void cub::_V_300303_SM_1200::detail::select::DeviceSelectSweepKernel<cub::_V_300303_SM_1200::detail::select::policy_hub<gpucpg::PfxtNode, cub::_V_300303_SM_1200::NullType, int, (bool)0, (cub::_V_300303_SM_1200::SelectImpl)1>::Policy1000, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, cub::_V_300303_SM_1200::NullType *, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, long *, cub::_V_300303_SM_1200::ScanTileState<int, (bool)1>, cuda::std::__4::__not_fn_t<gpucpg::CpGen::report_paths(int, int, bool, gpucpg::PropDistMethod, gpucpg::PfxtExpMethod, bool, float, float, int, bool, bool, bool, bool, gpucpg::CsrReorderMethod, bool, std::optional<float>, std::optional<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>)::[lambda(const gpucpg::PfxtNode &) (instance 6)]>, cub::_V_300303_SM_1200::NullType, int, cub::_V_300303_SM_1200::detail::select::streaming_context_t<long, (bool)1>, (cub::_V_300303_SM_1200::SelectImpl)1>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300303_SM_1200::detail::vsmem_t)"
0.2,317400,467,679.7,672.0,639,704,16.3,"gpucpg::reset_tc_pfxt_candidate_state(int *, int, int *, int, int *)"
0.2,310778,16,19423.6,3392.0,1472,130302,42874.5,"void cub::_V_300303_SM_1200::detail::select::DeviceSelectSweepKernel<cub::_V_300303_SM_1200::detail::select::policy_hub<gpucpg::PfxtNode, cub::_V_300303_SM_1200::NullType, int, (bool)0, (cub::_V_300303_SM_1200::SelectImpl)0>::Policy1000, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, cub::_V_300303_SM_1200::NullType *, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, long *, cub::_V_300303_SM_1200::ScanTileState<int, (bool)1>, gpucpg::CpGen::report_paths(int, int, bool, gpucpg::PropDistMethod, gpucpg::PfxtExpMethod, bool, float, float, int, bool, bool, bool, bool, gpucpg::CsrReorderMethod, bool, std::optional<float>, std::optional<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>)::[lambda(const gpucpg::PfxtNode &) (instance 5)], cub::_V_300303_SM_1200::NullType, int, cub::_V_300303_SM_1200::detail::select::streaming_context_t<long, (bool)1>, (cub::_V_300303_SM_1200::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300303_SM_1200::detail::vsmem_t)"
0.2,271996,13,20922.8,2144.0,1888,120254,43843.6,"void cub::_V_300303_SM_1200::detail::reduce::DeviceReduceKernel<cub::_V_300303_SM_1200::detail::reduce::policy_selector_from_types<long, unsigned int, cuda::std::__4::plus<long>>, thrust::_V_300303_SM_1200::transform_iterator<gpucpg::CpGen::report_paths(int, int, bool, gpucpg::PropDistMethod, gpucpg::PfxtExpMethod, bool, float, float, int, bool, bool, bool, bool, gpucpg::CsrReorderMethod, bool, std::optional<float>, std::optional<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>)::[lambda(const gpucpg::PfxtNode &) (instance 4)], thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, long, long>, unsigned int, cuda::std::__4::plus<long>, long, cuda::std::__4::identity>(T2, T5 *, T3, cub::_V_300303_SM_1200::GridEvenShare<T3>, T4, T6)"
0.1,111773,54,2069.9,1440.0,1056,13504,2242.9,"gpucpg::init_tc_pfxt_current_v(const gpucpg::PfxtNode *, int, int, const int *, int *, int *)"
0.0,78333,12,6527.8,6111.5,4512,12224,2070.3,"void cub::_V_300303_SM_1200::detail::merge_sort::DeviceMergeSortPartitionKernel<thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, unsigned int, gpucpg::pfxt_node_comp, gpucpg::PfxtNode>(bool, T1, T4 *, T2, T2, T2 *, T3, T2, int)"
0.0,66207,70,945.8,832.0,799,1824,224.5,"void cub::_V_300303_SM_1200::detail::transform::transform_kernel<cub::_V_300303_SM_1200::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<>, thrust::_V_300303_SM_1200::device_ptr<int4>>, int, cub::_V_300303_SM_1200::detail::transform::always_true_predicate, thrust::_V_300303_SM_1200::cuda_cub::__return_constant<int4>, int4 *, >(T2, int, bool, T3, T4, T5, cub::_V_300303_SM_1200::detail::transform::kernel_arg<T6>...)"
0.0,58720,27,2174.8,2208.0,1760,2688,272.8,"gpucpg::collect_tc_pfxt_adaptive_path_stats(const int *, int, const int *, const float *, const unsigned char *, const gpucpg::PfxtNode *, int, float, float, bool, bool, unsigned int, gpucpg::TcPfxtSourceLocalStats *, unsigned long long *, const int *)"
0.0,47168,70,673.8,640.0,608,1600,115.9,"void cub::_V_300303_SM_1200::detail::for_each::static_kernel<cub::_V_300303_SM_1200::detail::for_each::policy_hub_t::policy_500_t, unsigned long, thrust::_V_300303_SM_1200::cuda_cub::__uninitialized_fill::functor<thrust::_V_300303_SM_1200::device_ptr<unsigned char>, unsigned char>>(T2, T3)"
0.0,40288,27,1492.1,1504.0,1440,1536,25.3,"gpucpg::update_tc_pfxt_defer_oracle_state(const gpucpg::TcPfxtSourceLocalStats *, const unsigned long long *, int, int, int, unsigned long long *, gpucpg::tc_pfxt::AdaptiveTelemetryEntry *, unsigned int *, unsigned int, unsigned int, unsigned int, const int *, int)"
0.0,39264,1,39264.0,39264.0,39264,39264,0.0,"void cub::_V_300303_SM_1200::detail::merge_sort::DeviceMergeSortBlockSortKernel<cub::_V_300303_SM_1200::detail::merge_sort::policy_hub<thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>>::Policy600, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, cub::_V_300303_SM_1200::NullType *, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, cub::_V_300303_SM_1200::NullType *, unsigned int, gpucpg::pfxt_node_comp, gpucpg::PfxtNode, cub::_V_300303_SM_1200::NullType, cub::_V_300303_SM_1200::detail::merge_sort::VSMemHelper>(bool, T2, T3, T4, T5, T6, T8 *, T9 *, T7, cub::_V_300303_SM_1200::detail::vsmem_t)"
0.0,35648,8,4456.0,3264.0,1952,9376,2879.1,"void cub::_V_300303_SM_1200::detail::scan::DeviceScanKernel<cub::_V_300303_SM_1200::detail::scan::policy_hub<int, int, int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<int>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<int>>, cub::_V_300303_SM_1200::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::_V_300303_SM_1200::detail::InputValue<int, int *>, unsigned int, int, (bool)0, int>(T2, T3, T4, int, T5, T6, T7)"
0.0,32927,30,1097.6,768.0,736,5856,1227.3,"void cub::_V_300303_SM_1200::detail::transform::transform_kernel<cub::_V_300303_SM_1200::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<int>>>, int, cub::_V_300303_SM_1200::detail::transform::always_true_predicate, thrust::_V_300303_SM_1200::cuda_cub::__return_constant<int>, int *, >(T2, int, bool, T3, T4, T5, cub::_V_300303_SM_1200::detail::transform::kernel_arg<T6>...)"
0.0,23872,33,723.4,672.0,640,1216,149.7,"gpucpg::set_kernel(int *, int)"
0.0,23231,33,704.0,672.0,640,1024,82.8,"void cub::_V_300303_SM_1200::detail::scan::DeviceCompactInitKernel<cub::_V_300303_SM_1200::ScanTileState<int, (bool)1>, long *>(T1, int, T2)"
0.0,23200,3,7733.3,4544.0,4160,14496,5859.8,"void cub::_V_300303_SM_1200::detail::scan::DeviceScanKernel<cub::_V_300303_SM_1200::detail::scan::policy_hub<int, int, int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<int>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<int>>, cub::_V_300303_SM_1200::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::_V_300303_SM_1200::NullType, unsigned int, int, (bool)0, cub::_V_300303_SM_1200::NullType>(T2, T3, T4, int, T5, T6, T7)"
0.0,17247,7,2463.9,1824.0,1280,5280,1618.8,"void cub::_V_300303_SM_1200::detail::reduce::DeviceReduceKernel<cub::_V_300303_SM_1200::detail::reduce::policy_selector_from_types<int, unsigned int, cuda::std::__4::plus<int>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<int>>, unsigned int, cuda::std::__4::plus<int>, int, cuda::std::__4::identity>(T2, T5 *, T3, cub::_V_300303_SM_1200::GridEvenShare<T3>, T4, T6)"
0.0,15008,13,1154.5,1056.0,1024,1696,214.1,"void cub::_V_300303_SM_1200::detail::reduce::DeviceReduceSingleTileKernel<cub::_V_300303_SM_1200::detail::reduce::policy_selector_from_types<long, unsigned int, cuda::std::__4::plus<long>>, long *, long *, int, cuda::std::__4::plus<long>, long, long, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
0.0,8640,2,4320.0,4320.0,4320,4320,0.0,"void cub::_V_300303_SM_1200::detail::for_each::static_kernel<cub::_V_300303_SM_1200::detail::for_each::policy_hub_t::policy_500_t, unsigned long, thrust::_V_300303_SM_1200::cuda_cub::__uninitialized_fill::functor<thrust::_V_300303_SM_1200::device_ptr<bool>, bool>>(T2, T3)"
0.0,7680,1,7680.0,7680.0,7680,7680,0.0,"void thrust::_V_300303_SM_1200::cuda_cub::core::detail::_kernel_agent<thrust::_V_300303_SM_1200::cuda_cub::__reduce::ReduceAgent<thrust::_V_300303_SM_1200::zip_iterator<cuda::std::__4::tuple<thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned long long>>, thrust::_V_300303_SM_1200::counting_iterator<long, thrust::_V_300303_SM_1200::use_default, thrust::_V_300303_SM_1200::use_default, thrust::_V_300303_SM_1200::use_default, thrust::_V_300303_SM_1200::compile_time_value<(int)1>>>>, cuda::std::__4::tuple<unsigned long long, long> *, cuda::std::__4::tuple<unsigned long long, long>, int, thrust::_V_300303_SM_1200::cuda_cub::__extrema::arg_max_f<unsigned long long, long, cuda::std::__4::less<unsigned long long>>>, thrust::_V_300303_SM_1200::zip_iterator<cuda::std::__4::tuple<thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned long long>>, thrust::_V_300303_SM_1200::counting_iterator<long, thrust::_V_300303_SM_1200::use_default, thrust::_V_300303_SM_1200::use_default, thrust::_V_300303_SM_1200::use_default, thrust::_V_300303_SM_1200::compile_time_value<(int)1>>>>, cuda::std::__4::tuple<unsigned long long, long> *, int, cub::_V_300303_SM_1200::GridEvenShare<int>, cub::_V_300303_SM_1200::GridQueue<unsigned int>, thrust::_V_300303_SM_1200::cuda_cub::__extrema::arg_max_f<unsigned long long, long, cuda::std::__4::less<unsigned long long>>>(T2...)"
0.0,7360,7,1051.4,1024.0,992,1184,81.4,"void cub::_V_300303_SM_1200::detail::reduce::DeviceReduceSingleTileKernel<cub::_V_300303_SM_1200::detail::reduce::policy_selector_from_types<int, unsigned int, cuda::std::__4::plus<int>>, int *, int *, int, cuda::std::__4::plus<int>, int, int, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
0.0,4928,3,1642.7,1664.0,1344,1920,288.6,"void cub::_V_300303_SM_1200::detail::reduce::DeviceReduceSingleTileKernel<cub::_V_300303_SM_1200::detail::reduce::policy_selector_from_types<long, unsigned int, cuda::std::__4::plus<long>>, thrust::_V_300303_SM_1200::transform_iterator<gpucpg::CpGen::report_paths(int, int, bool, gpucpg::PropDistMethod, gpucpg::PfxtExpMethod, bool, float, float, int, bool, bool, bool, bool, gpucpg::CsrReorderMethod, bool, std::optional<float>, std::optional<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>)::[lambda(const gpucpg::PfxtNode &) (instance 4)], thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, long, long>, long *, unsigned int, cuda::std::__4::plus<long>, long, long, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
0.0,3872,1,3872.0,3872.0,3872,3872,0.0,"void cub::_V_300303_SM_1200::detail::for_each::static_kernel<cub::_V_300303_SM_1200::detail::for_each::policy_hub_t::policy_500_t, unsigned long, cub::_V_300303_SM_1200::detail::for_each::op_wrapper_t<unsigned long, thrust::_V_300303_SM_1200::detail::construct1_via_allocator<thrust::_V_300303_SM_1200::device_allocator<gpucpg::tc_pfxt::AdaptiveTelemetryEntry>>, thrust::_V_300303_SM_1200::device_ptr<gpucpg::tc_pfxt::AdaptiveTelemetryEntry>>>(T2, T3)"
