case,outer_step,chain_substep,from_mode,to_mode
leon3mp_d40,14,1,normal,deferred
leon3mp_d40,14,6,deferred,normal
leon3mp_d40,14,1,normal,deferred
leon3mp_d40,14,5,deferred,normal
leon3mp_d40,14,1,normal,deferred
leon3mp_d40,14,7,deferred,normal
leon3mp_d50,3,1,normal,deferred
leon3mp_d50,4,3,deferred,normal
leon3mp_d50,5,1,normal,deferred
vga_lcd_d20,17,1,normal,deferred
vga_lcd_d20,17,2,deferred,normal
vga_lcd_d30,2,1,normal,deferred
vga_lcd_d30,2,2,deferred,normal
vga_lcd_d40,2,1,normal,deferred
vga_lcd_d40,2,2,deferred,normal
vga_lcd_d40,18,1,normal,deferred
vga_lcd_d40,18,3,deferred,normal
vga_lcd_d50,2,1,normal,deferred
vga_lcd_d50,2,2,deferred,normal
vga_lcd_d50,3,1,normal,deferred
vga_lcd_d50,3,2,deferred,normal
vga_lcd_d50,4,1,normal,deferred
vga_lcd_d50,4,2,deferred,normal
vga_lcd_d50,6,1,normal,deferred
vga_lcd_d50,6,2,deferred,normal
vga_lcd_d50,8,1,normal,deferred
vga_lcd_d50,8,2,deferred,normal
vga_lcd_d50,9,1,normal,deferred
vga_lcd_d50,9,2,deferred,normal
vga_lcd_d50,12,1,normal,deferred
vga_lcd_d50,12,2,deferred,normal
vga_lcd_d50,15,1,normal,deferred
vga_lcd_d50,15,3,deferred,normal
des_perf_d10,1,2,deferred,normal
des_perf_d20,1,2,deferred,normal
des_perf_d30,1,2,deferred,normal
des_perf_d30,17,1,normal,deferred
des_perf_d30,17,2,deferred,normal
des_perf_d40,2,1,normal,deferred
des_perf_d40,2,3,deferred,normal
des_perf_d40,2,1,normal,deferred
des_perf_d40,3,1,deferred,normal
des_perf_d40,4,1,normal,deferred
des_perf_d40,5,1,deferred,normal
des_perf_d40,5,1,normal,deferred
des_perf_d50,1,2,deferred,normal
des_perf_d50,2,1,normal,deferred
des_perf_d50,6,1,deferred,normal
des_perf_d50,7,1,normal,deferred
des_perf_d50,10,4,deferred,normal
des_perf_d50,10,1,normal,deferred
des_perf_d50,11,4,deferred,normal
des_perf_d50,11,1,normal,deferred
